,lower_bound,upper_bound
rxn02201_c0,0,0
rxn08977_c0,0,1000
rxn00364_c0,0,0
rxn02177_c0,0,0
rxn00642_c0,0,0
rxn02000_c0,0,1.919907778
rxn00322_c0,0,0
rxn13783_c0,0,76.76377029
rxn12008_c0,-2.632997188,4.87E-15
rxn04070_c0,0,0
rxn01219_c0,0,0
rxn00800_c0,0,0
rxn00179_c0,0,0
rxn02945_c0,0,0
rxn00545_c0,0,0
rxn08807_c0,0,0
rxn02320_c0,0,0
rxn02504_c0,0,0
rxn04160_c0,0,0
rxn04996_c0,0,0
rxn00262_c0,0,0
rxn10262_c0,0,0
rxn10126_c0,0,0
rxn08084_c0,-4.73E-13,-4.73E-13
rxn10225_c0,0,0
rxn01486_c0,0,1.206818367
rxn00898_c0,0,0
rxn05040_c0,0,0
rxn00001_c0,0,28.9470612
rxn00710_c0,0,0
rxn08817_c0,0,0
rxn00910_c0,-1000,1000
rxn08296_c0,0,0
rxn00717_c0,-5.01E-14,0
rxn10254_c0,0,0
rxn08796_c0,0,0
rxn10214_c0,0,3.269535442
rxn08308_c0,5.84E-29,1.42E-14
rxn00208_c0,0,0
rxn08823_c0,0,0
rxn05031_c0,0,0
rxn00526_c0,0,0
rxn00902_c0,-1.70E-14,0
rxn00641_c0,-0.23769647,4.40E-16
rxn01974_c0,0,0
rxn00762_c0,-0.922963968,6.52E-14
rxn08971_c0,0,1000
rxn05104_c0,0,0
rxn08838_c0,0,0
rxn00148_c0,-1000,9.599538888
rxn01102_c0,0,0
rxn00100_c0,0,0
rxn00789_c0,0,0
rxn02374_c0,0,0
rxn03436_c0,-3.12E-12,6.539070884
rxn08976_c0,0,1000
rxn05319_c0,-1000,0
rxn00292_c0,-3.839815555,0
rxn08336_c0,0,0
rxn03903_c0,0,0
rxn00097_c0,-3.93E-13,1000
rxn05514_c0,-0.23769647,0
rxn02212_c0,0,0
rxn00695_c0,0,0
rxn10481_c0,-3.09E-12,1000
rxn00692_c0,-0.47539294,-2.27E-13
rxn00802_c0,0,0
rxn08802_c0,-1.75E-13,0
rxn01997_c0,0,1.919907778
rxn08809_c0,-6.43E-14,0
rxn01362_c0,-2.50E-14,0
rxn08841_c0,0,0
rxn02159_c0,0,0
rxn01111_c0,0,0
rxn08083_c0,0,0
rxn10222_c0,0,0
rxn10263_c0,0,0
rxn05466_c0,5.58E-14,513.7861664
rxn08814_c0,0,0
rxn08845_c0,0,0
rxn02380_c0,-1000,1000
rxn08792_c0,0,1000
rxn08799_c0,0,0
rxn10256_c0,0,0
rxn05555_c0,0,0.23769647
rxn09111_c0,0,0
rxn10213_c0,0,0
rxn08300_c0,0,0
rxn08297_c0,0,0
rxn09114_c0,0,0
rxn08822_c0,0,0
rxn03891_c0,-5.50E-13,1.206818367
rxn01465_c0,-1.84E-14,0
rxn01301_c0,-1000,1000
rxn01643_c0,0,0
rxn04457_c0,0,0
rxn00248_c0,-1.663875291,-8.70E-13
rxn00499_c0,-342.8571429,1000
rxn08844_c0,0,0
rxn00707_c0,0,0
rxn08979_c0,0,1000
rxn10113_c0,0,766.9245523
rxn00020_c0,0,0
rxn08839_c0,0,0
rxn09562_c0,0,0
rxn03435_c0,-6.539070884,9.39E-16
rxn03080_c0,0,0
rxn00147_c0,0,1000
rxn08843_c0,-0.81738386,1.17E-16
rxn01256_c0,-7.60E-13,0.71308941
rxn00777_c0,-9.525559047,-1.54E-15
rxn13784_c0,-8.18E-11,76.76377029
rxn10123_c0,0,1000
rxn02314_c0,0,0
rxn08801_c0,0,0
rxn00139_c0,0,0
rxn00790_c0,0,0
rxn03910_c0,0,0
